id,x_topo,y_topo
W4234263330,20.250702,0.7972268
W4232980861,-7.835607,13.813239
W2015012564,0.042355638,3.6440563
W2056115137,-7.826706,13.814662
W2164741953,0.70092666,4.1449065
W1624586308,-7.8353167,13.821101
W2105714444,2.7056873,18.97211
W1734912584,-4.5836487,7.3699474
W1990811833,-4.5902557,7.3730597
W1820581641,-4.59926,7.375021
W4241978124,-1.8234472,1.0920806
W3163706260,-10.0543375,11.888967
W6685675504,5.875759,-6.827677
W2097467865,10.190774,11.150312
W3003255814,9.602594,5.741264
W2013141870,9.633764,13.851831
W2050527239,5.822734,-6.9026017
W2105025246,5.839567,-6.871241
W3163577283,3.356771,3.040297
W1554149730,5.769822,-6.914377
W1986639033,3.5251477,20.388947
W4239867464,11.667557,6.4794197
W2176085061,11.7535715,6.9247684
W2128435165,3.1699696,1.4237187
W2010778584,5.7587733,-6.945669
W2056784831,5.13312,3.6413639
W2141376821,4.786779,-4.977004
W6634397735,2.7255187,17.720623
W2049382239,2.5567424,17.89107
W3004076791,2.9139354,0.71128774
W4244554620,-0.1460486,5.3134847
W2035155528,2.6089926,17.838316
W4317707897,2.667467,17.778603
W1576284248,2.6056478,17.842077
W2134835560,0.60379887,3.3769705
W1981220214,3.0376103,0.14143352
W2005314985,0.5084441,3.7300413
W1480088654,2.6157997,17.827404
W2146918884,4.5970716,3.9408376
W2801779473,10.37004,-0.6293707
W1981390994,-7.8511405,13.836121
W2027623746,-7.8257456,13.81431
W2031866290,-7.8274117,13.813122
W2115973673,7.723904,21.04054
W2029826220,11.634128,-10.800001
W1994820333,11.634277,-10.8001995
W2154632537,0.97732645,5.6601667
W2915391498,-4.594401,7.3735447
W2160614291,0.60909635,2.9185236
W2137958167,-7.6187944,-2.807941
W1981678521,15.101863,16.312792
W2760444680,15.151589,16.372377
W1985014998,15.110971,16.322535
W2053722198,15.150315,16.36634
W2026016897,15.134348,16.348646
W2008281673,15.130169,16.342997
W2395172102,15.102449,16.316746
W2059272911,15.146415,16.357058
W4238820340,17.438705,14.596861
W129963830,6.3117785,21.151224
W6668156028,6.308184,21.151735
W2006148168,6.3228083,21.142273
W2118733287,2.705489,18.971731
W2054763478,-0.10512641,3.901685
W4242483164,2.0417352,3.1073077
W6629403482,5.807393,9.586967
W4236888462,2.0779927,0.79482
W2056276720,9.373641,5.665308
W4255830248,5.9146824,-6.7896075
W6628861877,5.9038725,-6.793367
W2098227151,5.907518,-6.7974
W607614488,5.8775873,-6.841027
W2936737507,-0.7486197,15.915142
W4242123375,1.2412002,2.0240004
W1484471363,-0.22324303,5.3557644
W1509459202,0.13128525,5.657035
W1493815292,1.35899,3.8166878
W2131275470,3.9993856,4.958555
W1551207461,0.26630667,3.7592132
W2089725657,-0.005402978,5.29343
W3161635902,1.4704111,3.1042974
W2085702487,2.0976985,1.7599671
W2020171867,6.7375736,-1.5406693
W2106073588,2.7603848,0.6660954
W2911274055,0.6116198,14.952181
W2153109713,4.38271,-5.182159
W2059719975,-0.003327866,5.296418
W2029604820,4.9721165,3.7930381
W1607514454,17.742563,-0.57864183
W1794751999,9.549852,5.742924
W1585872161,17.757607,-0.5660922
W3010796970,17.766739,-0.5503525
W2067610985,17.74458,-0.5724699
W2103604870,-0.13367967,5.4726825
W2100595057,3.39023,2.5172832
W1975188434,3.2470188,9.551781
W2043483067,-6.7342744,-0.73545337
W2171846534,4.6856666,5.219403
W1504066312,2.4637003,8.547019
W1966543276,11.623344,6.416779
W2132524478,7.9944353,-4.214615
W1963545167,8.325053,-4.2782345
W2109375686,2.8054655,-0.03272323
W2034927886,-5.784045,7.007225
W1550436575,-10.78095,7.2163253
W1998594918,4.8629704,9.094224
W1577731476,8.274419,-4.3989167
W2986047257,0.98155826,5.6448193
W1994045646,1.1664912,4.102466
