degree,eigenvector,betweenness,clustering,pagerank,x_proj,y_proj,node_id
29,0.0062966471380890825,0.0,0.0812807881773399,1.9297917219542026e-05,7.822769,6.369916,W4231311245
4,-3.286008855851667e-13,0.0,0.3333333333333333,1.2964163296803281e-05,4.082392,2.8503547,W2984140258
1,-1.3448104234064905e-13,0.0,0.0,1.1725262911046433e-05,16.6401,-0.6381348,W2080262992
4,-1.3458448170851368e-13,0.0,0.0,1.3333040540505907e-05,1.841944,4.9717894,W2057910062
2,0.00016787270158359833,0.0,0.0,1.2953245898425656e-05,0.5869327,5.3431563,W4234666511
1,-1.3448408968974323e-13,0.0,0.0,1.1725262911046433e-05,16.640102,-0.63816416,W1965062873
4,0.0010325291957842926,0.0,0.0,1.3594525902945917e-05,1.9825076,4.7850804,W6888465210
8,-1.4183214862510156e-13,0.0,0.03571428571428571,1.3650682157193115e-05,4.4828033,4.449926,W3016054986
4,0.004240408109590542,0.0,0.0,1.2717098523151687e-05,2.3684916,4.401815,W2056549332
42,0.01450498505073868,0.0,0.011614401858304297,3.2739528865721215e-05,8.384081,7.128955,W2618814260
13,-1.097096167559419e-19,0.0,0.0,1.0969581072659219e-05,-5.788046,6.8145814,W4239445310
1,1.5730300365515658e-20,0.0,0.0,1.1725262911046433e-05,2.1479082,-6.731371,W3005779075
1,1.0907883467703023e-20,0.0,0.0,1.1725262911046433e-05,-0.2273594,25.235413,W158392163
1,-3.244305030742907e-20,0.0,0.0,1.1725262911046433e-05,16.639967,-0.63816506,W2069754093
21,-9.6420962939524e-15,0.0,0.023809523809523808,1.8117700324096365e-05,7.337509,6.4317408,W2024060531
22,0.0005948269907661446,0.0,0.004329004329004329,1.7225726234953568e-05,7.076895,6.223058,W2104095591
240,0.17945631475586293,0.0,0.009832635983263598,0.00012173094828275182,8.720458,7.1576014,W2229412420
1,2.0967912017358827e-19,0.0,0.0,1.1725262911046433e-05,16.639877,-0.63807875,W2007153649
1,-1.2681230717783057e-19,0.0,0.0,1.1725262911046433e-05,-0.22736618,25.235426,W2107198582
3,-8.689619319239398e-17,0.0,0.3333333333333333,1.2669432896765928e-05,3.4591842,2.8413663,W2913706141
1,1.790346218947761e-19,0.0,0.0,1.1725262911046433e-05,16.639786,-0.6380289,W2563693766
1,-7.772962501756053e-20,0.0,0.0,1.1725262911046433e-05,-1.2845167,-9.214293,W2040351352
2,-7.113097083231544e-20,0.0,0.0,1.2339254404736045e-05,10.996377,6.1347933,W1756736144
1,1.8406418799852365e-19,0.0,0.0,1.1725262911046433e-05,16.639797,-0.6381938,W4237942293
20,0.013322024143160967,2.9031028884578307e-06,0.02631578947368421,1.5387363746064306e-05,8.102139,5.509123,W3041520455
2,0.005971619301746461,0.0,0.0,1.2038085749989192e-05,3.2591617,3.9259498,W2166224910
7,0.005971619301746883,0.0,0.0,1.391502926777928e-05,5.8576174,4.4847665,W4246537837
4,0.005971619301746978,0.0,0.16666666666666666,1.4090825841107175e-05,5.828741,4.4483232,W1993399828
67,0.19934499514725024,0.0,0.04975124378109453,4.159223404586976e-05,8.92164,6.7200575,W1999616998
2,0.018709098651607557,0.0,0.0,1.2379705077305217e-05,8.451038,5.0384207,W2023376119
1,0.005971619301746977,0.0,0.0,1.1862659608935017e-05,3.2242265,3.9138663,W175841312
1,0.005971619301746979,0.0,0.0,1.1862659608935017e-05,3.2237911,3.9177244,W4237371142
1,0.005971619301746973,0.0,0.0,1.1862659608935017e-05,3.2186918,3.9157174,W2004152688
16,-4.607967854795037e-16,3.0584830943044934e-06,0.016666666666666666,1.136253562862057e-05,3.8881497,6.4777794,W4251595020
2,-2.0675862949077582e-16,0.0,0.0,1.1913442506095798e-05,2.324288,0.55317265,W2042525143
1,-2.0686595395685248e-16,0.0,0.0,1.1624505332594804e-05,3.018931,19.16077,W1964316024
6,0.01154163280852422,0.0,0.0,1.5198700503919098e-05,6.539737,4.8439903,W2144909841
